data,label
"[0.20993201 0.3073255  0.08037122 0.1978822  0.3139243  0.02954833
 0.19989435 0.31244922 0.03285237 0.19165488 0.35662305 0.13171855
 0.20663968 0.3396224  0.07923726 0.26381058 0.40497717 0.77273846
 0.27257323 0.37299794 0.6127813  0.43214273 0.21251003 0.5233532
 0.43566692 0.2740506  0.18668313 0.41418955 0.13678263 0.16554101
 0.42729235 0.16293986 0.16496405 0.67330456 0.3003618  0.44504857
 0.67232674 0.29595456 0.51002413 0.36636    0.08007343 0.5181682
 0.36390662 0.08559263 0.40283477 0.6820164  0.01101033 0.59250593
 0.6691997  0.01955985 0.7577257 ]",processed
"[0.21747027 0.34566656 0.09069552 0.20607074 0.34997857 0.04965401
 0.20665848 0.3456435  0.04341001 0.21495189 0.37736413 0.1370811
 0.21582039 0.35613623 0.06905595 0.2701601  0.40415478 0.7969667
 0.27364677 0.3758746  0.59855926 0.4683711  0.2366535  0.75043327
 0.43806922 0.25899696 0.19922107 0.41021058 0.19485441 0.25170913
 0.40425408 0.19752778 0.21232599 0.66164327 0.30358562 0.4715633
 0.6408621  0.27316657 0.41201645 0.37094143 0.08361202 0.5221436
 0.36226597 0.08854214 0.48070413 0.6502035  0.00724622 0.51286304
 0.62805516 0.0168168  0.47947332]",processed
"[0.21894418 0.35021964 0.13701725 0.20683342 0.35557088 0.08001925
 0.20875086 0.34397027 0.06728031 0.21385643 0.38491786 0.30407274
 0.2173565  0.36725372 0.15418912 0.2629527  0.41196695 0.78969866
 0.271013   0.37355006 0.61906874 0.44566637 0.24672565 0.5977449
 0.4172017  0.27247173 0.19833235 0.41256678 0.17568094 0.13805215
 0.39753562 0.15939166 0.1445195  0.68249667 0.3195914  0.6008837
 0.64918363 0.2803403  0.42961305 0.3767642  0.09158753 0.5963944
 0.36535645 0.08686048 0.5291776  0.660251   0.0066743  0.49549282
 0.6533686  0.01756364 0.68471205]",processed
"[0.21993041 0.35215402 0.12280346 0.20961967 0.35904345 0.08663082
 0.21152796 0.34538263 0.08579694 0.21461056 0.39569032 0.24582247
 0.21846122 0.3614807  0.12652464 0.2641746  0.41765034 0.8308391
 0.27115718 0.373653   0.6091827  0.4520869  0.24598396 0.5949907
 0.42536196 0.3065387  0.15202974 0.42291367 0.2081763  0.2312492
 0.42419982 0.20907862 0.15319896 0.68870175 0.30428424 0.59837437
 0.67427343 0.2623337  0.39471582 0.3868923  0.14596757 0.2202391
 0.3641005  0.08571474 0.47155282 0.65033454 0.00797752 0.6042126
 0.64303374 0.01475577 0.4790136 ]",processed
"[0.20320117 0.3374842  0.06859033 0.19371812 0.33922976 0.01964191
 0.19410297 0.33791983 0.02457515 0.19769976 0.37088296 0.06735326
 0.20617117 0.35034645 0.06102443 0.26506266 0.43237102 0.6997403
 0.27739328 0.37901816 0.533855   0.4171879  0.30487216 0.1529435
 0.4082626  0.2903989  0.21414135 0.42281947 0.20580752 0.17507039
 0.44325736 0.20011643 0.09951191 0.6953982  0.28528067 0.47324187
 0.69225633 0.27579513 0.44523737 0.36989337 0.095902   0.49323842
 0.36351374 0.09641968 0.50703716 0.6677412  0.0134582  0.29349372
 0.6675983  0.02304223 0.69992346]",processed
"[0.44638452 0.6400769  0.5130974  0.4374386  0.6470069  0.51771843
 0.44227228 0.6601094  0.51908565 0.456195   0.6655563  0.5162157
 0.46565488 0.699608   0.5610231  0.51939386 0.6216065  0.6597767
 0.5476576  0.69791305 0.52571476 0.40004003 0.5431024  0.7198159
 0.47407997 0.6280849  0.0962458  0.4446103  0.6662136  0.6871739
 0.45026433 0.666247   0.22034612 0.58123523 0.39383677 0.62577677
 0.54712766 0.4660464  0.33731368 0.43380207 0.2882047  0.84517753
 0.42664132 0.3685866  0.45622268 0.6180267  0.20554844 0.8467775
 0.5952834  0.23744518 0.3466466 ]",processed
"[0.21620736 0.3576611  0.09304991 0.2039036  0.35954046 0.05239604
 0.21181108 0.35561177 0.03984458 0.21585849 0.37774464 0.22880645
 0.21681793 0.36895418 0.07212105 0.27149868 0.41320646 0.6567954
 0.28117198 0.40011513 0.6759433  0.45594347 0.24079023 0.630913
 0.42469794 0.30173808 0.16488707 0.41309312 0.21130434 0.23330942
 0.4149775  0.20237865 0.22320832 0.6829872  0.29647273 0.5922449
 0.6644032  0.29756463 0.49431193 0.37074146 0.07701822 0.67851835
 0.36784717 0.08723009 0.4699422  0.6529215  0.00705459 0.6552419
 0.6435342  0.02132241 0.73516834]",processed
"[0.21615107 0.36446652 0.13000444 0.20647128 0.36833555 0.08774073
 0.20928593 0.3665897  0.07085901 0.21395771 0.38732287 0.34974456
 0.2179947  0.37866473 0.20234787 0.26257834 0.40604204 0.8087285
 0.27106506 0.39138624 0.6033167  0.46628183 0.24131028 0.72387004
 0.46580353 0.408253   0.40596908 0.4123292  0.19266321 0.38812625
 0.40331104 0.20214196 0.23486589 0.66538864 0.2937221  0.40615177
 0.64510703 0.27808756 0.3567953  0.37487254 0.08276892 0.71473354
 0.36670306 0.08668473 0.39803967 0.6715592  0.00192963 0.32147184
 0.6570802  0.01254896 0.4701796 ]",processed
"[0.20756523 0.36636856 0.06794463 0.19841203 0.36961856 0.03681306
 0.20145954 0.3660237  0.0313158  0.21277872 0.38838476 0.25738886
 0.21831676 0.37527663 0.16112128 0.26163056 0.42693302 0.6166368
 0.26542982 0.3766045  0.45932293 0.42649367 0.29245877 0.17882699
 0.3953975  0.28154796 0.19523634 0.4158972  0.19995245 0.23387599
 0.40633705 0.2000596  0.24739797 0.6857145  0.3202392  0.6104404
 0.6498918  0.28990367 0.3666906  0.3768476  0.07895306 0.5773847
 0.3643951  0.08559653 0.4343745  0.68401635 0.00769095 0.36076182
 0.6531681  0.01725538 0.6763853 ]",processed
"[0.20703058 0.41802847 0.12309811 0.19265018 0.42417002 0.03312786
 0.19926913 0.389076   0.06316932 0.21323769 0.38839984 0.35764486
 0.21884458 0.37845662 0.28266987 0.26992062 0.4216563  0.79322386
 0.2791867  0.36706716 0.5761816  0.44273627 0.24406925 0.69756186
 0.4157586  0.25364897 0.23810972 0.40005037 0.17114575 0.23119509
 0.39704937 0.1757437  0.21512534 0.6769288  0.3108881  0.6363729
 0.6511057  0.29186222 0.4419187  0.3673323  0.08171319 0.6872406
 0.3660569  0.08354092 0.50040776 0.65946966 0.01000268 0.3790894
 0.64980173 0.01658315 0.7053466 ]",processed
